mm/dd/yyyy | hh:mm:ss | x → transcript | title + (participants)
05/06/2016 | 03:01:22 | bit.ly/38tY2mm | Phoenix Wright: Ace Attorney, The Legend of Zelda: A Link Between Worlds (Jack, Rich)
05/11/2016 | 01:55:47 | bit.ly/2Imw5BP | Fistful of Gun, Ultimate Chicken Horse (Jack, Rich)
05/15/2016 | 03:36:36 | bit.ly/3p7GItv | DOOM (Jack, Rich)
05/18/2016 | 03:52:41 | bit.ly/3kbHvpp | DOOM (Jack, Rich)
05/22/2016 | 04:08:51 | bit.ly/38pyDKx | Phoenix Wright: Ace Attorney (Jack, Rich)
05/25/2016 | 04:29:15 | bit.ly/3ndqwVP | Duskers (Jack, Rich)
05/29/2016 | 03:37:56 | bit.ly/3pmvpOa | DOOM (Jack, Rich)
06/01/2016 | 04:13:05 | bit.ly/3pcN8ri | 20XX (Jack, Rich)
06/05/2016 | 03:55:16 | bit.ly/3kfM7uy | The Flame in the Flood (Jack)
06/08/2016 | 03:07:19 | bit.ly/3lfpDvh | Mirror's Edge (Jack)
06/12/2016 | 04:25:19 | bit.ly/2Injvme | Steamworld Heist (Jack, Rich)
06/15/2016 | 03:00:12 | bit.ly/2IbwveZ | E3 2016 (Jack, Rich)
06/19/2016 | 03:24:36 | bit.ly/3lgbNbN | DOOM, Crypt of the Necrodancer (Jack, Rich, Jay)
06/22/2016 | 02:24:43 | bit.ly/3leUCYi | Mighty No. 9 (Jack, Rich)
06/29/2016 | 03:04:06 | bit.ly/2IjHcLY | DOOM, Rocket League (Rich, Jay, Colin, April)
07/03/2016 | 03:51:03 | bit.ly/2UaSogQ | Phoenix Wright: Ace Attorney (Jack, Rich)
07/06/2016 | 03:31:33 | bit.ly/3eFqIdn | DOOM, Enter the Gungeon (Rich)
07/08/2016 | 04:03:29 | bit.ly/3lftqIY | INSIDE (Jack, Rich)
07/10/2016 | 03:24:21 | bit.ly/3le9bvj | Furi (Jack, Rich)
07/13/2016 | 00:39:31 | bit.ly/3lhmz1z | Pokemon GO (Jack, Rich)
07/17/2016 | 04:15:58 | bit.ly/38sNjZs | Necropolis (Jack, Rich)
07/20/2016 | 03:34:19 | bit.ly/38tcr2m | GhostControl Inc. (Jack, Rich, Jay)
07/24/2016 | 02:58:14 | bit.ly/3kdIbdS | Defunct, Hand of Fate (Jack, Rich)
07/27/2016 | 02:54:31 | bit.ly/36hvMkc | Headlander (Jack, Rich)
07/31/2016 | 02:49:02 | bit.ly/2GIYPEy | Quadrilateral Cowboy (Jack, Rich)
08/03/2016 | 02:21:25 | bit.ly/3pbl9bi | Severed (Jack, Rich, Karin)
08/07/2016 | 02:18:43 | bit.ly/2IaAEQj | Pac-Man (Rich, Karin)
08/14/2016 | 03:52:34 | bit.ly/3n9psSF | Half-Life 2, No Man's Sky (Jack, Rich)
08/17/2016 | 04:06:49 | bit.ly/3n7pryz | No Man's Sky (Jack, Rich)
08/21/2016 | 03:12:15 | bit.ly/3eFb2qu | Police Quest III: The Kindred (Jack, Rich)
08/24/2016 | 03:37:18 | bit.ly/32qBjUE | Starbound, Rocket League (Jack, Rich)
08/28/2016 | 04:49:25 | bit.ly/3liEt3W | Jack's PC Build (Jack, Rich)
08/31/2016 | 03:40:02 | bit.ly/38oKx7y | Overwatch (Jack, Rich)
09/03/2016 | 04:31:24 | bit.ly/3lakd4y | Deus Ex: Human Revolution (Rich)
09/04/2016 | 07:49:06 | bit.ly/32s28HX | Orcs Must Die! (Jack, Rich, Jay)
09/07/2016 | 02:50:10 | bit.ly/3eFgUjw | FTL: Faster Than Light (Jack, Rich)
09/11/2016 | 03:11:33 | bit.ly/32reAHQ | Pokemon Uranium (Jack, Rich)
09/14/2016 | 02:44:39 | bit.ly/36hy3Mp | ReCore (Jack, Rich)
09/18/2016 | 03:38:40 | bit.ly/3llAfZG | Sir, You Are Being Hunted (Jack, Rich)
09/21/2016 | 02:35:57 | bit.ly/2IlmI5V | Vampire the Masquerade: Bloodlines (Jack, Rich)
09/25/2016 | 04:04:53 | bit.ly/3lfl6sH | EVERSPACE (Jack, Rich)
09/28/2016 | 03:09:51 | bit.ly/2Udhv2t | Clustertruck (Jack, Rich, Karin)
10/05/2016 | 03:34:02 | bit.ly/32KLVOn | Dustforce, Haydee, Please, Don't Touch Anything (Jack, Rich, Jay, Josh)
10/09/2016 | 03:48:52 | bit.ly/3kbb0b3 | Five Nights at Freddy's: Sister Location, Spooky's Jump Scare Mansion, Psychonauts (Jack, Rich)
10/12/2016 | 02:22:25 | bit.ly/3kipfdY | Thief (Gold) (Jack, Rich, Karin)
10/16/2016 | 03:20:52 | bit.ly/35eyPKT | Gears of War 4 (Jack, Rich)
10/19/2016 | 04:09:38 | bit.ly/3kgt3fZ | Mr. President (Jack, Rich)
10/23/2016 | 03:45:02 | bit.ly/32t5kmt | Aragami (Jack, Rich)
10/26/2016 | 04:12:57 | bit.ly/2U84TcX | Dead by Daylight, Halloween Forever (Jack, Rich, Jay)
10/30/2016 | 03:05:32 | bit.ly/3pcH5mh | Zombie Night Terror (Jack, Rich)
11/02/2016 | 03:04:13 | bit.ly/3eItBtH | Owlboy (Jack)
11/06/2016 | 03:28:42 | bit.ly/3pgfTmE | FTL: Faster Than Light (Jack, Rich)
11/11/2016 | 04:01:37 | bit.ly/35cth3e | Space Rogue, GoNNER (Jack, Rich, Karin)
11/13/2016 | 04:32:13 | bit.ly/36mN0N4 | Stardew Valley, Dishonored 2 (Jack, Rich)
11/16/2016 | 02:48:12 | bit.ly/35et0gk | The Binding of Isaac: Rebirth (Jack, Rich)
11/18/2016 | 03:39:09 | bit.ly/2Iq3Kur | Dishonored 2 (Rich)
11/20/2016 | 04:37:22 | bit.ly/3lfLl1X | Planet Coaster, The Binding of Isaac: Rebirth, Bookworm Adventures 2 (Rich, Karin)
11/23/2016 | 03:18:46 | bit.ly/3eKhH2M | Pokemon Moon (Jack, Rich)
11/27/2016 | 03:45:02 | bit.ly/3n3IVE8 | The 7th Guest (Jack, Rich)
11/30/2016 | 03:49:30 | bit.ly/3eGLiK8 | Dishonored 2 (Jack, Rich)
12/04/2016 | 04:06:09 | 108994115, 109008558 | h60mmnzRT74, mj7-QRVZctE | EVERSPACE (Jack, Rich)
12/07/2016 | 02:04:40 | 112316377 | 9Yg8j5AI0sc | Chatting with Edmund McMillin (Jack, Rich, Jay, Edmund McMillin)
12/11/2016 | 03:45:29 | 112357634, 112541068 | uF5LPF2mW_w, MBoeqJ-71pc | UFO: Enemy Unknown, XCOM: Enemy Within (Jack, Rich)
12/18/2016 | 03:49:27 | 112554988, 112701229 | AT4w4th63Kk, Q_Pg_pVt0v8 | The Binding of Isaac: Rebirth (Jack, Rich)
12/21/2016 | 04:42:15 | 113819439 | jj2H7_wjww4 | XCOM: Enemy Within (Rich)
12/28/2016 | 04:18:32 | 114004914, 114006194, 114012890 | tXf5PMiEfNE, pPZut8KnkaE, EzZVEhTaIS8 | Dead Rising 4, XCOM: Enemy Within (Rich, Karin)
12/31/2016 | 04:18:28 | 115485050, 115489658 | zqd7AHGDvKI, 0gjowaJBkmQ | Runbow, Stardew Valley, Undertale, Shantae (Rich, Karin)
01/01/2017 | 05:49:19 | 115490363, 115490595 | 3mZoel5B_8Y, Xndv7WEw1aw | DOOM (Rich, Karin)
